Name,RA,DE,logBHMass,E_logBHMass_upper,E_logBHMass_lower,logStellarMass
NGC0428,18.23175,0.98168,4.48,0.37,0.37,9.759
NGC3423,162.80967,5.8401,5.18,0.67,0.67,9.706
NGC7424,344.32657,-41.07062,5.18,0.43,0.43,10.014
NGC1493,59.36419,-46.21072,5.4,0.51,0.51,9.625
NGC5194,202.46967,47.19517,5.96,0.36,0.36,10.892
NGC4212,183.91399,13.90155,5.99,0.42,0.42,10.377
NGC4041,180.55102,62.13729,6,0.2,0.2,10.503
NGC4826,194.18185,21.68308,6.05,0.13,0.13,10.443
NGC1386,54.19239,-35.9992,6.07,0.29,0.29,10.14
NGC4051,180.79007,44.53131,6.1,0.25,0.25,10.359
NGC6503,267.36024,70.14434,6.3,0.11,0.11,9.697
NGC5248,204.38336,8.88519,6.3,0.38,0.38,10.673
NGC3079,150.4909,55.67988,6.4,0.05,0.05,10.801
NGC5457,210.80223,54.34885,6.41,0.08,0.08,10.622
NGC4303,185.4789,4.47375,6.51,0.74,0.74,10.857
NGC3351,160.99062,11.70366,6.52,0.26,0.26,10.486
NGC2685,133.89453,58.73441,6.59,0.41,0.41,10.078
NGC5273,205.53494,35.65427,6.61,0.27,0.27,10.037
NGC5879,227.44469,57.00014,6.62,0.28,0.28,10.072
NGC4321,185.72888,15.8223,6.67,0.17,0.17,10.931
NGC3310,159.69103,53.5034,6.7,0.92,0.92,10.319
NGC2964,145.72589,31.84737,6.73,0.61,0.61,10.449
NGC3489,165.07735,13.90115,6.78,0.05,0.05,10.135
NGC4736,192.721,41.12021,6.78,0.12,0.12,10.521
NGC4088,181.3928,50.53923,6.79,0.29,0.29,10.577
NGC4371,186.23104,11.70425,6.84,0.07,0.07,10.508
NGC4388,186.4449,12.66209,6.86,0.04,0.04,10.462
NGC4593,189.91437,-5.34414,6.86,0.21,0.21,10.932
NGC3368,161.69035,11.81997,6.88,0.08,0.08,10.725
NGC4314,185.63341,29.89545,6.91,0.3,0.3,10.14
NGC1068,40.66962,-0.01331,6.92,0.25,0.25,10.861
NGC3627,170.06253,12.9915,6.93,0.05,0.05,10.809
NGC3982,179.11723,55.12527,6.95,0.26,0.26,10.258
NGC4800,193.65744,46.53116,7.02,0.53,0.53,10.463
NGC3384,162.07045,12.62957,7.03,0.21,0.21,10.493
NGC2903,143.0424,21.50183,7.06,0.28,0.28,10.665
NGC5921,230.48542,5.07065,7.07,0.42,0.42,10.411
NGC4245,184.40329,29.608,7.19,0.48,0.48,9.801
NGC5347,208.32421,33.49085,7.21,0.42,0.42,9.903
NGC4548,188.86023,14.49634,7.25,0.29,0.29,10.696
NGC3021,147.73816,33.5536,7.26,0.3,0.3,10.329
NGC3675,171.53569,43.586,7.26,0.29,0.29,10.919
NGC4501,187.99651,14.42033,7.3,0.08,0.08,11.184
NGC3227,155.8774,19.86513,7.32,0.23,0.23,10.675
NGC3953,178.45424,52.32681,7.33,0.29,0.29,10.987
NGC0289,13.1761,-31.20582,7.38,0.3,0.3,10.631
NGC3642,170.57463,59.07452,7.42,0.04,0.04,10.404
NGC3992,179.39983,53.37483,7.51,0.28,0.28,11.104
NGC4258,184.73957,47.30398,7.58,0.03,0.03,10.672
NGC5427,210.85854,-6.03075,7.58,0.3,0.3,10.737
NGC0613,23.57571,-29.41857,7.6,0.35,0.35,11.087
NGC2787,139.82738,69.20333,7.61,0.09,0.09,10.225
NGC2748,138.42939,76.47524,7.65,0.24,0.24,10.31
NGC7582,349.59837,-42.37034,7.74,0.2,0.2,10.649
NGC4698,192.09546,8.48736,7.76,0.16,0.16,10.848
NGC4151,182.63561,39.40578,7.81,0.08,0.08,9.775
NGC3031,148.88833,69.06535,7.81,0.13,0.13,10.78
NGC4203,183.77105,33.19738,7.82,0.26,0.26,10.528
NGC1300,49.92101,-19.4111,7.88,0.34,0.34,10.576
NGC4596,189.98318,10.17613,7.89,0.26,0.26,10.682
NGC4278,185.02846,29.28072,7.96,0.27,0.27,10.714
NGC4579,189.4314,11.8182,7.96,0.36,0.36,11.098
NGC5018,198.25439,-19.51828,8.02,0.08,0.08,11.234
NGC1398,54.71697,-26.33768,8.03,0.08,0.08,11.133
NGC5728,220.59953,-17.25304,8.05,0.29,0.29,10.849
NGC4450,187.12334,17.08496,8.06,0.28,0.28,10.718
NGC1097,41.57894,-30.27472,8.14,0.09,0.09,11.24
NGC2974,145.63871,-3.69919,8.23,0.09,0.09,10.771
NGC1052,40.27003,-8.2558,8.24,0.29,0.29,10.705
NGC4699,192.25917,-8.66433,8.25,0.05,0.05,11.334
NGC5005,197.73442,37.05903,8.27,0.23,0.23,11.098
NGC3414,162.81757,27.9751,8.4,0.07,0.07,10.759
NGC5576,215.26535,3.27091,8.44,0.13,0.13,10.77
NGC3608,169.24566,18.14869,8.67,0.1,0.1,10.792
NGC4594,189.99762,-11.62299,8.82,0.05,0.05,11.253
NGC1332,51.57176,-21.33523,8.83,0.04,0.04,10.887
NGC5055,198.95528,42.02935,8.92,0.1,0.1,10.778
NGC3998,179.48394,55.4535,8.93,0.05,0.05,10.864
NGC3115,151.30812,-7.7186,8.95,0.09,0.09,10.855
NGC4374,186.26566,12.88695,8.97,0.05,0.05,11.115
NGC5846,226.62199,1.60565,9.04,0.06,0.06,11.225
NGC4472,187.44489,8.0005,9.4,0.04,0.04,11.448
